date,Berlin Max_Temperature,Paris Max_Temperature,Copenhagen Max_Temperature,Stockholm Max_Temperature,Metropolitan City of Rome Max_Temperature
1900-01,8.4,12.7,6.2,5,
1900-02,17.4,16.9,6.2,4.5,
1900-03,15,16.9,7.6,5.5,
1900-04,24.1,25.8,19.2,14,
1900-05,29.4,28.9,23.4,21,
1900-06,28.8,31.9,27.7,29,
1900-07,34.9,38.6,29,29,
1900-08,32.3,32.6,28.2,26,
1900-09,27.4,28.8,22.4,20.5,
1900-10,24.5,26.1,17.4,17,
1900-11,13.5,18.8,9.4,8.5,
1900-12,9.2,14.9,9.2,8,
1901-01,8,10.9,7,6.5,
1901-02,8.5,12.4,4,1.5,
1901-03,14,13.8,6.4,8,
1901-04,23,24.9,17.4,18,
1901-05,28.6,29.5,22.2,25.5,
1901-06,30.6,33.9,25,27,
1901-07,31.7,32,30.8,32,
1901-08,30.4,31.2,29.4,27,
1901-09,27.2,30,22.4,22,
1901-10,23.7,23.8,18.6,16.5,
1901-11,10.4,14,10.8,8,
1901-12,11.5,12.7,8.8,4,
1902-01,11.3,13,8,6,
1902-02,11.9,14,3.6,2.5,
1902-03,16.6,17.1,9.4,6,
1902-04,21.1,22,14.4,12.5,
1902-05,32.1,27,25.7,23,
1902-06,32.5,30,27.1,25.5,
1902-07,28.2,33.9,23.7,23,
1902-08,27.3,30,19.5,20,
1902-09,29.2,28.2,23.3,20,
1902-10,18,20.6,14.9,12,
1902-11,13.4,19,12.1,14,
1902-12,8.8,13.2,6.7,6,
1903-01,9.8,13.1,6.9,6,
1903-02,15.2,15.8,9.1,9,
1903-03,23.5,25.3,15.3,13.5,
1903-04,19.8,17.9,15.7,15,
1903-05,29.1,28.7,27.5,25,
1903-06,29.3,33.5,28.1,26.2,
1903-07,33.1,31.7,24.5,26,
1903-08,27.6,30.4,22.9,21,
1903-09,32.2,32.3,25.1,19,
1903-10,25.5,21.5,17.9,16,
1903-11,10.8,12.8,10.4,10,
1903-12,4.6,12,3.9,6,
1904-01,9,11.4,4.9,5.5,
1904-02,8.9,11.8,4.3,3,
1904-03,16.6,14.9,9.7,6.5,
1904-04,25.9,23,15.9,14.5,
1904-05,28.9,28.1,24.1,24,
1904-06,31.1,30.1,24.9,25,
1904-07,36.4,37.1,32.1,28,
1904-08,34.3,34.8,27.7,28,
1904-09,25.8,25.8,22.6,23,
1904-10,21.3,21.4,17.3,16.5,
1904-11,11.9,15.3,11.1,9.5,
1904-12,10.8,15.1,8.9,9.5,
1905-01,6.4,11.9,6.9,7,
1905-02,9.3,11.7,6.3,6.5,
1905-03,15.9,19,10,8,
1905-04,20.6,21,14.3,16,
1905-05,31.4,29.1,27.1,26,
1905-06,33.9,30,29.1,29,
1905-07,36.3,33.8,26.2,26,
1905-08,33.1,32,26.5,24,
1905-09,25.7,27.8,21.5,18,
1905-10,13.8,16.1,13.3,11,
1905-11,14.4,14.1,9.9,8,
1905-12,11,13.3,7.1,6.5,
1906-01,9,15.3,6.8,7.5,
1906-02,7.9,12.7,5.1,3,
1906-03,17.5,20,11.5,7.5,
1906-04,25.6,21.8,22.6,18.5,
1906-05,27,29.7,25.1,24.5,
1906-06,31.1,30.9,26.5,27.5,
1906-07,31.4,33.8,29.7,28.5,
1906-08,33.1,34.9,28.9,28.5,
1906-09,31.3,33.2,28.8,21.5,
1906-10,20,25.5,16.1,13,
1906-11,15,14.4,11.9,10.5,
1906-12,9.8,11.9,9.7,6,
1907-01,7.2,9.8,6.1,3,
1907-02,7.6,10.8,6.8,6,
1907-03,17,22.1,15.3,12.5,
1907-04,16.2,22.4,12.9,10,
1907-05,31.7,29.1,26.7,24.5,
1907-06,31,27.7,24.7,22,
1907-07,27.3,29.4,28.8,26,
1907-08,30.3,34.4,24.7,19,
1907-09,26.6,28.6,20.4,22,
1907-10,23.1,19.4,19.9,15,
1907-11,13.8,15.8,10.5,8,
1907-12,9.1,14.6,7.5,5,
1908-01,9.4,11.6,5.7,6,
1908-02,9.6,11.2,7.9,5,
1908-03,15.3,13.1,11.9,9,
1908-04,18.6,21.6,14.1,11.5,
1908-05,29.8,29.2,23.6,24.5,
1908-06,32.5,32.5,27.5,26,
1908-07,34.7,32.3,28.8,28.5,
1908-08,28.1,30.6,25.9,26,
1908-09,27.2,28.4,22.3,18.5,
1908-10,25.8,26,23.2,18.5,
1908-11,10.6,15.7,8.3,7,
1908-12,9.3,11.1,8.1,6.5,
1909-01,7.6,11.9,6.2,4.5,
1909-02,7.9,11.6,5.3,3,
1909-03,20.8,15.3,12.8,4.5,
1909-04,22.5,26.3,17.3,13.5,
1909-05,29.5,31.1,20,18.5,
1909-06,32,31,24.5,26,
1909-07,24.8,26.4,24.1,24.5,
1909-08,28.5,32.5,24.6,22.5,
1909-09,25.6,23.4,20.3,18,
1909-10,21.6,20.8,17.9,16,
1909-11,9.8,12.8,10.3,8,
1909-12,11.7,14.9,6.7,5,
1910-01,9.6,12.2,8.3,6.5,
1910-02,12.3,14.9,8.6,5.5,
1910-03,16.3,17.5,12.8,10.5,
1910-04,23.6,21,17.8,16.5,
1910-05,27.6,25.6,24.5,23.5,
1910-06,32,28.3,28.6,26.5,
1910-07,29.9,29.7,28.4,26.5,
1910-08,26.7,27.6,27,24.5,
1910-09,22.8,26.6,21,19,
1910-10,21.6,23.8,17.3,15,
1910-11,10.4,13.9,8.6,8,
1910-12,10.2,14.8,7.9,7,
1911-01,7.5,8.3,8,5.5,
1911-02,10,13.8,7.5,5,
1911-03,23.3,20,16.2,10,
1911-04,26.4,23.8,21.7,18.5,
1911-05,27.5,27,27.9,25.5,
1911-06,30.1,28.9,28.9,27,
1911-07,35.7,37.5,28.5,29,
1911-08,32.7,37.7,31.6,31,
1911-09,34.7,35.6,25.3,20,
1911-10,18.8,22,15.6,13.5,
1911-11,14.6,14.4,11.5,9.5,
1911-12,7.4,11.8,6.6,6.5,
1912-01,8,12.5,8.1,7,
1912-02,17.5,17.1,8.2,6,
1912-03,19.5,20.9,11,8,
1912-04,20.4,23,19.6,17,
1912-05,26.5,33,21.3,17.5,
1912-06,29.7,32.9,25.9,26.5,
1912-07,32.2,34.4,27.8,29.5,
1912-08,27.1,25.9,24.8,24,
1912-09,18.7,21,18.5,16,
1912-10,16.2,20.8,14,11.5,
1912-11,8.4,11.5,8.1,8.5,
1912-12,12.3,13.3,10.9,9,
1913-01,8,11.7,6.4,6,
1913-02,11.1,12.6,7,5.5,
1913-03,23.2,19.6,13.2,11,
1913-04,29,27.3,26.1,23,
1913-05,30.6,30.6,28,21,
1913-06,28.6,31.2,25.3,25,
1913-07,28.7,27.1,27,26,
1913-08,28.2,30.6,27,25,
1913-09,25.2,26,25.5,22.5,
1913-10,21.9,21.2,17.4,16,
1913-11,16.5,17.2,12.4,10,
1913-12,10.1,10.3,9.8,7,
1914-01,9.9,11.8,6.7,7,
1914-02,12.7,14.6,9.8,9,
1914-03,17.3,21.3,10.6,6.5,
1914-04,24.1,26.1,22,22,
1914-05,28.6,30.1,22.9,21.5,
1914-06,28.7,31.4,28.3,26.5,
1914-07,32,33.7,33,31,
1914-08,31.2,31.8,27.8,24,
1914-09,28.6,28.8,23.4,21.5,
1914-10,18.2,19.5,14.3,12,
1914-11,11,16.9,11.9,11,
1914-12,14.3,15.8,10.8,11,
1915-01,9.1,12.3,6.5,3,
1915-02,10.6,12.8,7.3,2.5,
1915-03,20.1,17.9,8.9,8,
1915-04,22.6,25.4,20.9,18,
1915-05,27.5,28.8,25.5,24,
1915-06,35,33,29.3,27.5,
1915-07,31.1,30.9,26.6,24,
1915-08,29.2,31.4,25.1,24.5,
1915-09,24.1,28.3,23.5,20.5,
1915-10,15,20.8,14.6,12,
1915-11,13.6,13.7,10.2,8,
1915-12,14.2,16.2,6.8,2.5,
1916-01,10.6,14.1,8.5,6,
1916-02,9.2,13.1,6.8,4.5,
1916-03,15.7,19.3,11.7,7,
1916-04,24.2,25.9,21.4,20,
1916-05,29.2,28.9,23.6,21.5,
1916-06,29.5,28.3,24.9,23.5,
1916-07,28.3,28.7,28.5,28,
1916-08,28.8,31.8,23.7,20.5,
1916-09,26.5,26.1,20.5,19.5,
1916-10,19.4,22.7,17.6,13,
1916-11,17.7,16.9,12.9,9.5,
1916-12,10.8,14,6.8,6,
1917-01,8.4,11.7,7.5,0.5,
1917-02,4.9,10.5,4.5,5,
1917-03,9.2,17,6.6,6.5,
1917-04,15.5,22,13.7,12.5,
1917-05,29.7,29.7,27.2,26.5,
1917-06,34.9,34.4,32,31.5,
1917-07,30.5,32,26.6,25.5,
1917-08,31.3,29.2,30.3,25.5,
1917-09,28.4,27.6,21,19,
1917-10,25.5,27,19.3,17,
1917-11,12.8,16.2,11.3,7.5,
1917-12,10.1,8.9,8.3,7.5,
1918-01,11.5,13.4,5.3,6,
1918-02,10.4,13.2,6.7,5,
1918-03,18,20.5,14.5,12.5,
1918-04,24.3,18.8,19.8,17.5,
1918-05,30.9,30,26.8,24.5,
1918-06,26.3,28,24.9,26,
1918-07,29.7,33.9,27.1,27,
1918-08,33.1,36.4,26.3,25,
1918-09,28.7,28,19.5,16.5,
1918-10,18.1,18.7,15,14,
1918-11,15.2,14.7,11.3,9.5,
1918-12,10,16.6,8,7,
1919-01,9.7,10.9,7,4,
1919-02,12.4,13.7,6.5,7,
1919-03,21,16.1,13.3,7,
1919-04,16.8,19.7,19.3,18,
1919-05,25.7,27.6,24.3,21.5,
1919-06,32.3,32,27.9,23,
1919-07,27.4,28,28.9,28,
1919-08,31.1,35.2,25.3,20,
1919-09,34.2,32.8,26,24,
1919-10,21.6,22.3,18,16,
1919-11,11.3,12.5,9.4,4.5,
1919-12,10.7,13.8,7.4,4,
1920-01,11,14.1,8.4,4,
1920-02,16.1,16.1,10.2,8.5,
1920-03,20.6,21.9,13,14,
1920-04,22,20.8,15.5,14,
1920-05,29.5,28.1,22.7,23.5,
1920-06,28.3,30.9,25.9,27,
1920-07,32.5,31.8,29,27,
1920-08,30.5,27.6,24.5,22.5,
1920-09,23.5,26,20,18,
1920-10,21.7,26.2,18.5,15,
1920-11,14.4,15,11.6,12,
1920-12,12.4,15.8,7.2,4,
1921-01,12.8,14.8,9.5,6.5,
1921-02,10.1,15.5,7.3,7,
1921-03,21.5,22.9,14.4,12,
1921-04,24,24.8,21.5,21,
1921-05,29.5,28.6,25.5,25.5,
1921-06,33.6,30.9,27.6,26,
1921-07,34.3,38,28.8,26,
1921-08,35.6,34,29.5,26.5,
1921-09,28.8,32.2,23.2,22.5,
1921-10,24.7,31.3,20,17.5,
1921-11,10.6,16,11.1,10,
1921-12,10.9,14,9,4,
1922-01,10.4,13.6,8,1,
1922-02,15.2,17.5,9.4,5,
1922-03,18.5,21.5,9.5,7,
1922-04,28.3,23.6,21,16,
1922-05,34,35,26.5,24.5,
1922-06,29.4,31.1,23.9,23,
1922-07,36.8,31.4,25.1,23.5,
1922-08,30.2,29.2,23.6,22,
1922-09,20.9,29,19.4,19.5,
1922-10,15.4,21.4,14.1,12.5,
1922-11,10.1,14,8.6,8.5,
1922-12,10.3,12.6,8.9,7,
1923-01,7.4,11.8,8.3,7.5,
1923-02,13.7,13.9,9.9,2,
1923-03,19.5,22.8,14.8,14.5,
1923-04,22,25.3,15.4,11,
1923-05,31.1,30,23.7,17,
1923-06,23.3,27.2,20,18.5,
1923-07,35.3,34.6,31,30.5,
1923-08,28.6,39,22,21.5,
1923-09,28.7,30.9,21.8,18,
1923-10,25.1,24.6,20.3,13,
1923-11,15.4,16,11,10,
1923-12,7.9,11.1,7,4,
1924-01,7.1,13,4.2,3,
1924-02,5.5,9.9,5.1,3.5,
1924-03,17.5,16.8,8,5,
1924-04,21.3,23.1,11.3,9,
1924-05,28.8,29.7,25,19,
1924-06,30.5,31.1,27,25.5,
1924-07,32.4,32.9,24.8,26,
1924-08,28.5,26.9,27,25.5,
1924-09,27.4,25,22,22,
1924-10,22,21.2,17.9,15,
1924-11,16.1,17.5,12.2,9.5,
1924-12,8.6,14,8.8,10,
1925-01,12.1,13.4,9.6,7.5,
1925-02,15.8,13,10,7.5,
1925-03,17,15.2,9.6,8,
1925-04,21,20,16.6,16.5,
1925-05,27.6,28.7,23.5,22.5,
1925-06,29.3,31,30.1,25,
1925-07,32.6,30.5,30.2,29,
1925-08,34.6,31.6,23.9,25,
1925-09,23.6,24.6,17.9,18,
1925-10,20.2,20.6,16.5,16,
1925-11,14.1,17,11.6,7,
1925-12,14,15.5,9.1,5,
1926-01,8.5,13.2,6.5,2.5,
1926-02,12.9,17.1,5.9,3,
1926-03,14.8,15.8,12.6,7.5,
1926-04,28.1,24.4,19.4,18,
1926-05,24.6,25.6,21.9,21,
1926-06,24.7,26.2,25.5,24,
1926-07,32,32,28.2,31,
1926-08,26.4,31,24.5,24.5,
1926-09,29.4,30.9,23.2,21,
1926-10,19.6,24.3,16.6,15,
1926-11,15.7,17.5,11.6,9.5,
1926-12,8.3,9,9,7,
1927-01,9,10.9,7.9,5,
1927-02,12.8,15,8,4,
1927-03,21.1,18.6,16.9,11,
1927-04,20.4,24.9,15.1,13,
1927-05,29,27.1,18.3,16,
1927-06,32.3,30,22.9,22.5,
1927-07,30.3,30.2,27,28,
1927-08,30.8,29,26,26,
1927-09,27.6,25.4,22.5,22,
1927-10,18.5,21.7,14.8,14,
1927-11,15.4,19.6,13.1,11,
1927-12,7.7,11.8,4.5,1.5,
1928-01,7.8,11.9,5,3,
1928-02,11.7,15.1,8.2,6,
1928-03,17.6,18.2,10.5,5.5,
1928-04,26.9,25.1,18.8,17,
1928-05,25.5,28.9,21,20.5,
1928-06,28.7,29.9,20.2,22,
1928-07,35.1,36.3,28.3,28,
1928-08,28.2,31.9,22.5,20,
1928-09,31,30.8,24,21,
1928-10,20.5,20.1,15.6,14,
1928-11,15.5,17,13.5,10,
1928-12,6.6,12,7,5,
1929-01,3,6.1,4.5,4.5,
1929-02,2,10.8,2,,
1929-03,17.7,22.4,16,14,
1929-04,21.5,24.4,12.4,14,
1929-05,28.2,29.6,23.5,22,
1929-06,31.4,29,26.2,23.5,
1929-07,34.7,34,27,27,
1929-08,32.1,34.8,24.5,20.5,
1929-09,32.8,33.8,26.3,19.5,
1929-10,24.2,22,16.2,13,
1929-11,12.6,15.2,9.6,8.5,
1929-12,13.1,14.6,10.8,8,
1930-01,10.8,14,9,8.5,
1930-02,9.8,13.1,6.6,4,
1930-03,16.4,18.6,12,10.5,
1930-04,24.1,24.3,18,15,
1930-05,24.4,25.4,22,21,
1930-06,33.6,30.9,27.7,29,
1930-07,33.7,27.4,29.2,28,
1930-08,30.7,34.2,24.6,23.5,
1930-09,21.8,28.4,19.3,17,
1930-10,20.1,22.2,18,15,
1930-11,13.8,18.2,11.9,12,
1930-12,6.1,12.1,7.9,7,
1931-01,11,13.2,7.6,4,
1931-02,7.8,13.1,5.9,3.2,
1931-03,14.2,18.9,9.4,10,
1931-04,20,20.9,15.3,14.2,
1931-05,32.222,28.5,27.8,22,
1931-06,31.111,32,23.4,23.6,
1931-07,32.222,28.8,27.4,25.5,
1931-08,32.4,29,27.1,28.2,
1931-09,26.111,24.6,20.1,18.5,
1931-10,22.8,22.1,17.9,15.3,
1931-11,17,18.9,14.4,12.4,
1931-12,11,14.9,9.1,7.8,
1932-01,12,13.2,9,9.6,
1932-02,7.222,10.1,8.2,5,
1932-03,15.1,15.9,11.9,8.4,
1932-04,23.2,19.1,15.4,12.4,
1932-05,32.222,30.3,25,22.2,
1932-06,29.3,28.7,25,22,
1932-07,32.8,31,29.1,28.4,
1932-08,37.2,35.7,29,25,
1932-09,30,28.1,21.5,20,
1932-10,22.222,21.1,15.7,14.3,
1932-11,16.2,16.3,11.8,9,
1932-12,10,15.4,10,9.4,
1933-01,7.5,13.4,7.5,5.8,
1933-02,10,14,8.6,5.4,
1933-03,21.5,20.9,14.4,13.4,
1933-04,21.1,26.5,16.2,15.2,
1933-05,27.222,27,21,18.4,
1933-06,27.222,29,25.8,24,
1933-07,35,36.2,28.3,34.6,
1933-08,31.111,34.4,24.7,25.2,
1933-09,26.111,28,22.1,23.5,
1933-10,25,24.5,18.2,17.2,
1933-11,16.111,15.2,10.1,9,
1933-12,6.111,6.1,6.3,3.6,
1934-01,12.778,13.6,8.1,5,
1934-02,12.222,12.8,10.6,8,
1934-03,16.111,16.7,10,8,
1934-04,27.6,29.5,21.1,17.5,
1934-05,27.7,29.6,25.2,25,
1934-06,32.5,33,27.6,27.5,
1934-07,33.2,33.6,28.2,29,
1934-08,30.6,28.9,25.1,26.4,
1934-09,28.4,31.7,24.5,22.8,
1934-10,23.9,23.9,18.1,16.8,
1934-11,16.2,11.8,11.2,11,
1934-12,12.222,14.1,9.4,6.2,
1935-01,7.778,11.5,7.3,5.2,
1935-02,13.4,13.3,8.5,6.7,
1935-03,19.5,19.2,14.6,10,
1935-04,22.222,20.3,20,17,
1935-05,26.3,25.1,21.5,19,
1935-06,34.5,31,28.9,30,
1935-07,32.222,33.1,27.5,28.8,
1935-08,33.7,32.1,26.6,29,
1935-09,30.3,28,22.9,19.6,
1935-10,22.222,19.7,17.3,15,
1935-11,17.3,18.2,13.5,11.8,
1935-12,10.9,12.9,7.4,6,
1936-01,11.111,15,9.1,5.6,
1936-02,11.111,14.4,5,4,
1936-03,19,19.8,14.8,9.2,
1936-04,21.111,18.8,16.5,16,
1936-05,24.6,28.1,21.4,20.2,
1936-06,31.111,31.7,28.5,29.8,
1936-07,35,32.4,26.3,27.7,
1936-08,29.5,29.2,24.4,24.5,
1936-09,26.111,28.2,22.3,18.8,
1936-10,14.2,19.1,13.6,11,
1936-11,12.9,13.7,10.6,9,
1936-12,11.5,14.6,10.1,9.5,
1937-01,10.2,14.6,9.3,7,
1937-02,11.2,14.1,6.5,2.6,
1937-03,15,15.1,10.3,6.4,
1937-04,18.889,19.8,18.6,18,
1937-05,32.6,30.9,26,25.6,
1937-06,36.111,32.2,29.2,27.8,
1937-07,31.3,33.1,27.3,27,
1937-08,30.8,34.4,26.2,25.4,
1937-09,27.5,29.8,23.5,20.2,
1937-10,18.889,22,17,16,
1937-11,13.4,13.1,12.5,9.5,
1937-12,8.7,11.7,7.9,2.3,
1938-01,23.889,12.9,8.3,6,
1938-02,12.4,14.6,9.5,7.4,
1938-03,21.7,22.8,18.5,15.2,
1938-04,16.111,19.4,16.5,15.6,
1938-05,29.1,29,26.2,28,
1938-06,32.222,33.2,25,24.6,
1938-07,33.9,32.6,26.2,27.8,
1938-08,34,33.5,28.4,28.4,
1938-09,27.222,27.4,22.8,24,
1938-10,18.9,20.4,19.9,17.4,
1938-11,16.3,19.1,13.7,11.4,
1938-12,10.2,14.9,8,7,
1939-01,13.9,14.2,9.9,5,
1939-02,14.2,14.1,11.1,8,
1939-03,12.222,18.9,9,7,
1939-04,25,28.1,21.5,15,
1939-05,23.2,24.4,22.1,22.5,
1939-06,32.222,32.9,28.9,28,
1939-07,32.222,30.4,28.8,28.1,
1939-08,31.4,28.3,30.2,27.2,
1939-09,29.2,29,25,23.2,
1939-10,19,20.2,14.3,11.2,
1939-11,14.9,19.9,12.8,10.8,
1939-12,11.111,13.1,9.5,5.5,
1940-01,12.778,9.1,4,2,
1940-02,12.222,16.1,8.889,4.8,
1940-03,15.6,21,12.778,5,
1940-04,25,26.3,16.1,11,
1940-05,27.8,25.3,25,23.1,
1940-06,32.222,30.1,28.8,26.8,
1940-07,32.778,27.8,28.3,27,
1940-08,29.3,31.1,25.7,24.8,
1940-09,25,32.222,17.9,17,
1940-10,20.2,22.222,14.9,12.8,
1940-11,15,17.9,10.7,11,
1940-12,5,11.111,7.222,5,
1941-01,1.5,10.9,1.5,4.8,
1941-02,10.5,13.6,4.3,2,
1941-03,15,18,10.1,8.8,
1941-04,17.3,19.6,14.3,14,
1941-05,26.111,21,24,25,
1941-06,32.8,34.4,30.5,28.4,
1941-07,33.9,35.3,31.8,31,
1941-08,28.9,26.1,27.778,30,
1941-09,23.9,28.1,21.5,18.8,
1941-10,21.3,24.5,17.5,16,
1941-11,10.6,16.2,8,5.4,
1941-12,12.222,14.1,9.9,7.6,
1942-01,7.222,9.7,4.6,2.8,
1942-02,6.111,6.1,1.7,,
1942-03,13.9,20.1,7,7.8,
1942-04,21.111,23.1,18.4,20.2,
1942-05,30,29.7,23,20.2,
1942-06,32.222,32.5,24.1,23.4,
1942-07,35,32.1,26,27,
1942-08,32.8,31.2,28.9,26.4,
1942-09,29.6,31.5,24.7,21.8,
1942-10,25,23.4,18.8,14.5,
1942-11,12.8,14,12.8,10.8,
1942-12,10.7,14.1,9.1,5.8,
1943-01,10,14.8,6.4,3.6,
1943-02,12.222,13.2,10.3,11.8,
1943-03,20.4,21.9,12.8,11.8,
1943-04,26.111,27.3,20.1,20,
1943-05,30.4,31.3,26.9,23,
1943-06,30,31.1,26.111,25.8,
1943-07,32.222,36.6,28.1,27.6,
1943-08,37.8,34.5,29.1,28,
1943-09,29,28.4,23.889,18.8,
1943-10,22.8,19.5,17.1,16,
1943-11,15.6,17.1,12.4,8,
1943-12,7.222,12.1,7.5,5.1,
1944-01,10.5,12.2,9.3,6,
1944-02,10.5,14.2,8.3,4.8,
1944-03,8.9,18.8,9.1,6.2,
1944-04,21,23.4,16,12.6,
1944-05,32,34.8,25.5,20.4,
1944-06,28.5,27.9,25,24.8,34.111
1944-07,34,30.8,31,30.2,34.611
1944-08,34.1,32.1,29,27.6,37.389
1944-09,29.1,24.7,21,18.8,
1944-10,19.4,17.5,15.1,15.6,29.111
1944-11,13.2,16.5,11.3,10.8,20.722
